1,5
2,8
3,4
4,3
5,4
6,3
7,10
8,1
9,6
10,6
11,9
12,9
13,7
14,10
15,9
16,3
17,5
18,7
19,2
20,3
21,8
22,4
23,10
24,6
25,2
26,7
27,4
28,8
29,6
30,2
31,6
32,10
33,5
34,8
35,8
36,2
37,8
38,1
39,7
40,6
41,10
42,7
43,10
44,9
45,6
46,3
47,5
48,2
49,5
50,8
51,4
52,1
53,1
54,9
55,8
56,2
57,3
58,7
59,4
60,5
61,2
62,5
63,9
64,10
65,5
66,7
67,6
68,5
69,10
70,1
71,4
72,6
73,4
74,1
75,1
76,2
77,5
78,1
79,10
80,7
81,10
82,1
83,8
84,9
85,5
86,9
87,6
88,9
89,2
90,6
91,3
92,8
93,3
94,2
95,2
96,2
97,1
98,1
99,8
100,7
101,8
102,7
103,6
104,8
105,1
106,5
107,8
108,6
109,3
110,2
111,9
112,5
113,3
114,9
115,4
116,10
117,3
118,9
119,2
120,10
121,4
122,1
123,10
124,7
125,4
126,7
127,7
128,4
129,4
130,4
131,10
132,8
133,10
134,6
135,8
136,10
137,8
138,7
139,3
140,3
141,3
142,5
143,2
144,9
145,1
146,10
147,9
148,3
149,5
150,2
151,7
152,4
153,1
154,3
155,6
156,2
157,3
158,1
159,9
160,4
161,4
162,4
163,5
164,5
165,9
166,3
167,4
168,1
169,6
170,10
171,7
172,9
173,5
174,10
175,1
176,7
177,3
178,9
179,10
180,3
181,5
182,7
183,4
184,9
185,9
186,8
187,6
188,6
189,2
190,6
191,2
192,5
193,7
194,8
195,2
196,6
197,8
198,1
199,1
200,7
